candidate_id,rank,score,reasoning
CAND_0071974,1,0.976904,"Senior AI Engineer with 7.8 years in Vizag, Andhra Pradesh; profile shows hybrid retrieval, information retrieval and trusted skills in embeddings, information retrieval, sentence transformers. Behavioral score is 0.83: last active 2026-04-16, response rate 0.76, notice 45 days."
CAND_0077337,2,0.975133,"Staff Machine Learning Engineer with 7.0 years in Kochi, Kerala; profile shows hybrid retrieval, dense vector and trusted skills in semantic search, information retrieval, recommendation systems. Behavioral score is 0.87: last active 2026-05-26, response rate 0.95, notice 60 days."
CAND_0081846,3,0.959597,"Lead AI Engineer with 6.7 years in Jaipur, Rajasthan; profile shows hybrid retrieval, dense vector and trusted skills in embeddings, semantic search, vector search. Behavioral score is 0.83: last active 2026-05-03, response rate 0.73, notice 30 days."
CAND_0002025,4,0.955816,"Senior AI Engineer with 5.9 years in Trivandrum, Kerala; profile shows hybrid retrieval, dense vector and trusted skills in recommendation systems, sentence transformers, faiss. Behavioral score is 0.88: last active 2026-05-26, response rate 0.80, notice 30 days."
CAND_0018499,5,0.949076,"Senior Machine Learning Engineer with 7.2 years in Noida, Uttar Pradesh; profile shows hybrid retrieval, dense vector and trusted skills in embeddings, information retrieval, recommendation systems. Behavioral score is 0.84: last active 2026-05-13, response rate 0.61, notice 15 days."
CAND_0041610,6,0.940388,"Recommendation Systems Engineer with 6.7 years in Indore, Madhya Pradesh; profile shows embedding-based retrieval, recommendation and trusted skills in embeddings, recommendation systems, learning to rank. Behavioral score is 0.81: last active 2026-05-14, response rate 0.52, notice 30 days."
CAND_0088025,7,0.939205,"Staff Machine Learning Engineer with 8.6 years in Jaipur, Rajasthan; profile shows hybrid retrieval, dense vector and trusted skills in learning to rank, bm25, pinecone. Behavioral score is 0.83 with last activity 2026-05-14; concern: 90-day notice."
CAND_0041669,8,0.936257,"Recommendation Systems Engineer with 8.0 years in Noida, Uttar Pradesh; profile shows semantic search, information retrieval and trusted skills in semantic search, information retrieval, faiss. Behavioral score is 0.82: last active 2026-04-06, response rate 0.77, notice 60 days."
CAND_0011162,9,0.932982,"Recommendation Systems Engineer with 5.8 years in Coimbatore, Tamil Nadu; profile shows embedding-based retrieval, vector search and trusted skills in embeddings, vector search, sentence transformers. Behavioral score is 0.75 with last activity 2026-05-10; concern: 90-day notice."
CAND_0049538,10,0.928098,"Applied ML Engineer with 5.8 years in Jaipur, Rajasthan; profile shows embedding-based retrieval, vector search and trusted skills in embeddings, vector search, recommendation systems. Behavioral score is 0.80: last active 2026-05-27, response rate 0.72, notice 30 days."
CAND_0066999,11,0.926653,"Recommendation Systems Engineer with 5.9 years in Delhi, Delhi; profile shows information retrieval, recommendation and trusted skills in embeddings, information retrieval, bm25. Behavioral score is 0.79: last active 2026-04-05, response rate 0.63, notice 15 days."
CAND_0052328,12,0.922491,"Recommendation Systems Engineer with 6.5 years in Pune, Maharashtra; profile shows vector search, recommendation and trusted skills in vector search, recommendation systems, sentence transformers. Behavioral score is 0.82: last active 2026-03-31, response rate 0.79, notice 30 days."
CAND_0064326,13,0.922209,"Search Engineer with 7.6 years in Gurgaon, Haryana; profile shows semantic search, recommendation and trusted skills in semantic search, bm25, weaviate. Behavioral score is 0.88: last active 2026-05-21, response rate 0.94, notice 45 days."
CAND_0007009,14,0.922187,"Recommendation Systems Engineer with 7.9 years in Noida, Uttar Pradesh; profile shows semantic search, recommendation and trusted skills in embeddings, sentence transformers, learning to rank. Behavioral score is 0.74: last active 2026-03-19, response rate 0.62, notice 30 days."
CAND_0074735,15,0.915640,"Applied ML Engineer with 5.5 years in Chandigarh, Chandigarh; profile shows semantic search, vector search and trusted skills in semantic search, vector search, information retrieval. Behavioral score is 0.79 with last activity 2026-03-28; concern: 90-day notice."
CAND_0039838,16,0.915344,"Recommendation Systems Engineer with 4.9 years in Kochi, Kerala; profile shows semantic search, vector search and trusted skills in embeddings, semantic search, vector search. Behavioral score is 0.76 with last activity 2026-04-21; concern: 90-day notice."
CAND_0068811,17,0.914899,"Applied ML Engineer with 8.0 years in Pune, Maharashtra; profile shows embedding-based retrieval, vector search and trusted skills in embeddings, vector search, pinecone. Behavioral score is 0.74: last active 2026-05-21, response rate 0.42, notice 30 days."
